afraid qo'rqqan,cho'chigan
agree rozi-bo'lmoq
angry jahli-chiqmoq
arrive yetib-kelmoq
attack hujum-qilmoq
bottom pastki-qism
clever aqlli
cruel shavqatsiz
finally vanihoyat
hide bekinmoq
hunt ov-qilmoq
lot ko'p
middle o'rtacha
moment ayni-vaqtda
pleased yoqimli
promise vada-bermoq
reply qaytarmoq
safe xavfsiz
trick xiyla,nayrang
well yaxshi

adventure sarguzasht
approach yaqinlashmoq
carefully diqqat,e'tibor
chemical kimyoviy-modda
create yaratmoq
evil yovuzlik,yomonlik
experiment tajriba
kill o'ldirmoq
laboratory laboratoriya
laugh kulmoq
loud shovqinli,baland-ovoz
nervous havotirlangan,nervniy
noise shovqin,ovoz
project loyiha
scare qo'rqitmoq,cho'chitmoq
secret sir
shout baqirmoq,qichqirmoq
smell hidlamoq
terrible daxshatli
worse yomonroq

alien begona,o'zgasayyoralik
among orasida,ichida
chart diagramma
cloud bulut
comprehend tushunmoq,anglamoq
describe tasvirlamoq,ifodalamoq
ever qachondir
fail muvaffaqiyatsizlikka-uchramoq
friendly mehribon,g'amxor,do'stona
grade baho
instead o'rniga
library kutubxona
planet sayyora
report hisobot
several bir-qancha 
solve yechim,javob
suddenly to'satdan,qo'qqisdan 
suppose taxmin-qilmoq,mo'ljallamoq
universe borliq,olam
view ko'rinish

appropriate mos,to'g'ri
avoid yaqinlashmaslik
behave o'zini-tutmoq
calm hotirjam
concern tashvish,g'am
content hursand,shod
expect umid-qilmoq,kutmoq
frequently tez-tez
habit odat
instruct ko'rsatma-bermoq
issue masala,muammo
none hech-qancha
patient sabrli,toqatli
positive ijobiy
punish jazolamoq
represent vakil-bo'lmoq
shake silkitmoq,siltamoq
spread tarqatmoq,surkamoq
stroll sayr-qilmoq
village qishloq

aware xabardor,ogoh
badly yomon,jiddiy
belong tegishli-bo'lmoq
continue davom-ettirmoq
error xato
experience taassurot,kechinma
field keng-maydon,dala
hurt jarohat-yetkazmoq
judgment qaror,fikr
likely ehtimol,balki
normal odatiy,har-doimgi
rare kamdan-kam,noyob
relax dam-olmoq
request so'ramoq
reside istiqomat-qilmoq
result natija,oqibat
roll yumalatmoq
since dan-beri
visible ko'zga-ko'rinadigan
wild yovvoyi

advantage ustun-jihat,foyda
cause sabab-bo'lmoq
choice tanlash-imkoniyati
community jamiyat,jamoa
dead o'lgan,o'lik
distance masofa
escape qochib-qutilmoq
face duch-kelmoq
follow ergashmoq,amal-qilmoq
fright qo'rquv,vahima
ghost rux,arvox
individual indvid,kishi
pet uy-hayvoni
reach yetib-bormoq
return qaytib-kelmoq
survive tirik-qolmoq
upset xafa,tushkun
voice ovoz,tovush
weather ob-havo
wise aqilli,dono


allow ruxsat-bermoq
announce e'lon-qilmoq
beside yonma-yon
challenge qiyinchilik
claim tasdiqlamoq
condition holat,ahvol
contribute hissa-qo'shmoq
difference farq,tafovut
divide taqsimlamoq,bo'lmoq
expert eskpert,mutaxassis
famous mashxur
force kuch,qudrat
harm jabr,jarohat
lay qo'ymoq
peace tinchlik
prince shag'zoda
protect himoya-qilmoq
sense his-qilmoq
sudden to'satdan,kutilmaganda
therefore shuning-uchun


accept qabul-qilmoq
arrange tartibga-keltirmoq
attend bormoq,qatnashmoq
balance muvozanat-saqlamoq
contrast katta-farq
encourage ruhlantirmoq
familiar tanish,qadirdon
grap uzmoq,olmoq
hang osmoq,ilmoq
huge katta,ulkan
necessary kerak,zarur
pattern uslub,yo'nalish
propose taklif-qilmoq
purpose maqsad
release qo'yib-yubormoq
require talab-qilmoq
single bitta,bir-dona,yolg'iz
success muvaffaqiyat
tear yirtmoq
theory nazariya

