anxious xavotirlangan
awful juda-yomon
consist iborat-bo'lmoq
desire xoxlamoq
eager chanqoq,sabrsiz
household oila-a'zolar
intent maqsad,niyat
landscape landshaft,manzara
lift ko'tarmoq
load yuklamoq
lung o'pka
motion harakat
pace temp,sur'at
polite muloyim,odobli
possess egalik-qilmoq
rapidly juda-tez
remark ta'kidlamoq
seek qidirmoq
shine nur-taratmoq
spill to'kib-yubormoq

bring olib-kelmoq
castle qasr
command buyruq-bermoq
counsel maslahat-bermoq
ensure taminlamoq
explosion portlash
jewelry taqinchoq
land qo'nmoq
meteor metiorit
monster maxluq
northern shimoliy
remote olis,uzoq
sourhern janubiy
statue haykal
steam par,bug'
submit bo'ysunmoq
temple ibodatxona
upper yuqori
weed begona-o't
wing qanot

arrow o'q,yoy
battle urush
bow kamon
brave qo'rqmas,jasur
chief boshliq,sardor
disadvantage kamchilik
enemy dushman
entrance kirish-yo'li
hardly arang,zo'rg'a
intend niyat-qilmoq
laugher kulgu,shodlik
log g'o'la
military armiya
obbey bo'ysunmoq
secure qo'lga-kiritmoq
steady barqaror
trust ishonmoq
twist aylantirib-bog'lamoq
unless magan-taqdirda
weapon qurol-yarog'

chest bag'ir,ko'ks
confidence ishonch
consequence natija,oqibat
disaster falokat
disturbe tashvishga-solmoq
estimate taxminan-baholamoq
honor sharaflamoq
impress lol-qoldirmoq
marathon marafon
narrow tor
pale xira
rough dag'al
satisfy qoniqtirmoq
scream baqirmoq
sensitive ta'sirchan
shade soya
supplement qo'shmoq
terror qo'rquv
victim qurbon

ancestor ajdod
angle tomon,burchak
boot etik
border chegara
congratulate tabriklamoq
frame ramka
heaven jannat
incredible aqlga-sig'mas
legend afsona
praise maqtamoq
proceed bir-yo'nalishda-bormoq
pure sof,musaffo
relative qarindosh
senior katta-yoshdagi
silent tinch
sink cho'kmoq
superior yuqori
surround o'rab-olmoq
thick qalin
wrap o'ramoq

abroad xorij,chet
anger jahlini-chiqarmoq
bride kelinchak
brief qisqa
chase quvlamoq
disappoint hafa-qilmoq
dive suvga-sakramoq
exchange ayriboshlamoq
favor yordam
fee to'lov,badal
forever abadiy
guy erkak-kishi
lovely yoqimli,go'zal
mood kayfiyat
palace qasr,saroy
permit ruxsat-bermoq
protest norozilik-bildirmoq
sclupture haykal
tribe qabila
youth yoshlik-payt

basis tartib,yo'nalish
biology biologiya
case qafas
colleague hamkasb
colony kaloniya
debate muhokama-qilmoq
depart jo'nab-ketmoq
depress hafa-qilmoq
factual asosli,dalilga-boy
fascinate maftun-qilmoq
mission topshiriq
nevertheless shunga-qaramay
occupation kasb
overseas okean-orti
persuade ko'ndirmoq
route yo'nalish
ruins xaroba
scholar bilimdon
significant muhim
