aware xabardor,ogoh
badly yomon,jiddiy
belong tegishli-bo'lmoq
continue davom-ettirmoq
error xato
experience tasurot,kechinma
field keng-maydon,dala
hurt jarohat-yetkazmoq
judgment qaror,fikr
likely ehtimol,balki
normal odatiy,har-doimgi
rare kamdan-kam,noyob
relax dam-olmoq
request so'ramoq,so'rov
reside istiqomat-qilmoq
result natija,oqibat
roll yumalatmoq
since dan-beri
visible ko'zga-ko'rinadigan
wild yovvoyi

advantage ustun-jihat,foyda
cause sabab-bo'lmoq
choice tanlash-imkoniyati
community jamiyat,jamoa
dead o'lgan,o'lik
distance masofa
escape qochib-qutilmoq
face duch-kelmoq
follow ergashmoq,amal-qilmoq
fright qo'rquv,vahima
ghost rux,arvox
individual indvid,kishi
pet uy-hayvoni
reach yetib-bormoq
return qaytib-kelmoq
survive tirik-qolmoq
upset xafa,tushkun
voice ovoz,tovush
weather ob-havo
wise aqilli,dono
